"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",6,1,2,3,45,1,1125,15,87,9,8,10,10,8,8,"madrid"
"Entire home/apt",6,1,2,1,59,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",7,2,3,5,50,3,1125,24,89,9,9,10,9,9,9,"girona"
"Entire home/apt",12,2,6,8,150,7,1125,11,93,8,10,10,10,9,9,"girona"
"Entire home/apt",3,1,1,2,88,2,30,19,95,10,10,10,9,10,9,"barcelona"
"Entire home/apt",7,2,3,1,206,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,20,5,1125,103,91,10,9,9,10,9,9,"madrid"
"Entire home/apt",6,1,2,3,111,2,365,3,67,7,9,8,7,5,6,"barcelona"
"Entire home/apt",5,2,3,4,175,7,1125,5,100,10,10,10,9,10,10,"mallorca"
"Private room",2,1,1,1,30,2,1125,4,95,10,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,1,67,1,27,36,94,10,10,8,9,10,9,"barcelona"
"Entire home/apt",8,2,4,8,120,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",3,4,1,2,40,2,1125,144,78,9,8,9,9,10,8,"barcelona"
"Entire home/apt",10,4,4,5,360,7,1125,7,100,10,9,10,10,10,10,"mallorca"
"Private room",2,2,1,1,60,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,1,1,1,40,3,100,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,1,2,49,2,1125,69,94,9,10,10,10,10,9,"valencia"
"Entire home/apt",2,2,0,1,1000,2,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,1,2,3,70,60,365,4,90,10,10,10,10,9,9,"malaga"
"Entire home/apt",5,2,3,5,120,30,60,2,100,9,10,10,10,10,10,"girona"
"Entire home/apt",3,1,1,1,45,3,120,27,97,10,9,10,10,9,10,"mallorca"
"Entire home/apt",5,1,2,2,65,5,1125,9,87,9,8,10,10,9,9,"madrid"
"Private room",3,1,1,2,64,2,15,29,99,10,10,10,10,10,10,"barcelona"
"Entire home/apt",10,3,4,8,285,3,1120,2,90,10,10,10,10,10,9,"girona"
"Entire home/apt",2,1,1,2,62,5,90,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",9,2,3,6,60,1,31,34,89,9,9,10,10,9,9,"girona"
"Entire home/apt",6,1,2,4,120,2,1125,0,92,9,9,10,10,10,9,"sevilla"
"Private room",2,1,1,1,20,1,21,8,97,10,10,10,10,10,10,"madrid"
"Private room",1,1,1,1,25,2,1125,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",10,4,5,6,250,7,28,2,100,10,10,10,10,10,10,"girona"
"Entire home/apt",4,2,2,2,95,3,1125,30,90,9,9,10,9,10,9,"madrid"
"Private room",2,1,1,1,120,2,7,2,100,10,10,10,10,10,10,"mallorca"
