"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",16,7,7,0,155,2,149,1,100,10,10,10,10,10,10,"girona"
"Entire home/apt",2,1,1,1,90,2,1125,2,100,10,9,10,10,10,10,"girona"
"Entire home/apt",6,2,2,4,105,1,1125,3,100,10,10,10,9,10,9,"madrid"
"Private room",2,2,1,1,50,2,1125,92,91,9,9,10,10,9,9,"barcelona"
"Entire home/apt",2,1,1,2,64,1,28,1,92,9,9,10,10,10,9,"menorca"
"Entire home/apt",6,2,3,5,129,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,2,4,500,1,30,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,1,2,2,90,1,1125,89,94,10,9,10,10,10,9,"malaga"
"Entire home/apt",4,1,1,2,81,4,120,46,86,9,9,9,9,9,9,"barcelona"
"Entire home/apt",4,1,2,5,100,2,1125,11,95,9,10,10,10,9,9,"girona"
"Entire home/apt",10,2,4,8,500,3,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,40,3,1125,5,85,8,10,10,8,10,8,"madrid"
"Entire home/apt",2,1,1,2,57,2,1125,32,98,10,10,10,10,10,9,"menorca"
"Entire home/apt",4,1,2,4,80,4,365,0,92,9,9,10,10,10,9,"madrid"
"Private room",1,1,1,1,100,1,1,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",8,2,3,6,257,5,1125,1,60,10,8,6,8,10,8,"mallorca"
"Entire home/apt",4,1,1,2,45,1,1125,9,84,9,8,9,9,9,8,"malaga"
"Entire home/apt",12,2,5,12,500,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",3,2,2,3,41,32,364,1,100,10,10,10,10,10,10,"barcelona"
"Private room",2,1,1,1,40,2,1125,149,88,9,8,10,10,10,9,"barcelona"
"Entire home/apt",7,1,3,3,140,3,1125,78,97,10,10,10,10,10,10,"madrid"
"Entire home/apt",6,2,3,6,92,1,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,90,31,1125,4,90,9,8,10,10,10,9,"barcelona"
"Entire home/apt",6,1,2,4,90,3,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,1,2,80,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",12,3,4,6,180,3,1125,71,94,10,9,10,10,10,9,"barcelona"
"Entire home/apt",2,1,1,1,54,31,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,2,3,4,120,3,330,16,91,9,9,9,9,9,9,"barcelona"
"Private room",2,1,1,1,35,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,2,2,2,258,30,1125,1,100,8,10,10,8,10,8,"madrid"
"Entire home/apt",2,1,1,2,75,3,1125,20,93,9,9,9,9,10,9,"sevilla"
"Entire home/apt",5,1,2,4,125,7,1125,3,60,7,5,7,6,10,5,"girona"
"Entire home/apt",8,3,4,7,260,4,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,3,6,300,5,27,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",8,2,4,5,186,2,90,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,2,3,5,250,7,1125,10,98,10,10,10,10,10,10,"mallorca"
"Entire home/apt",2,1,0,1,40,1,1125,84,89,9,9,9,9,9,9,"malaga"
"Entire home/apt",10,2,4,6,121,1,27,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,1,3,4,75,2,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,1,2,5,50,6,1125,2,100,10,10,10,10,10,10,"menorca"
"Entire home/apt",6,2,2,3,120,3,30,11,93,9,9,10,10,10,9,"madrid"
"Private room",2,3,1,1,19,33,1125,0,92,9,9,10,10,10,9,"valencia"
"Entire home/apt",12,5,6,9,480,3,1125,1,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",8,2,3,4,90,3,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",8,3,4,6,176,6,1125,8,98,10,10,10,10,10,10,"mallorca"
"Entire home/apt",11,2,5,11,242,3,1125,30,72,7,8,9,8,10,7,"barcelona"
"Shared room",5,1,1,3,400,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",7,3,3,7,225,3,30,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",3,2,0,2,85,1,60,271,96,10,10,10,10,10,10,"madrid"
"Private room",2,1,1,2,60,1,1125,21,96,10,10,10,10,9,10,"barcelona"
"Private room",2,2,1,1,35,1,1125,14,100,10,9,10,10,9,10,"girona"
"Entire home/apt",8,3,4,5,284,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",2,1,1,1,90,2,100,19,94,9,10,9,10,8,9,"girona"
"Entire home/apt",3,1,1,1,75,1,1125,11,98,10,10,10,10,10,10,"girona"
"Entire home/apt",12,3,6,6,265,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,15,1,1125,67,97,10,10,10,10,9,10,"malaga"
"Entire home/apt",6,2,3,3,62,1,1125,0,92,9,9,10,10,10,9,"menorca"
"Entire home/apt",6,1,2,4,60,3,1125,83,98,10,10,10,10,10,10,"malaga"
"Entire home/apt",4,1,2,2,183,1,28,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",2,1,1,1,72,1,1125,1,40,4,4,8,6,8,6,"malaga"
"Entire home/apt",6,2,3,5,95,3,29,7,90,10,9,10,10,8,9,"menorca"
"Entire home/apt",2,1,0,1,70,3,365,57,86,9,8,10,9,10,8,"madrid"
"Private room",2,1,1,1,23,2,10,2,90,10,10,10,10,10,10,"valencia"
"Entire home/apt",4,1,2,2,100,4,30,42,94,10,10,10,10,9,9,"mallorca"
"Private room",2,1,1,2,22,1,1125,223,90,9,9,9,9,10,9,"sevilla"
"Entire home/apt",4,1,1,2,61,3,1125,16,91,10,9,10,10,9,9,"madrid"
"Entire home/apt",6,4,3,6,220,7,30,1,40,4,2,6,2,8,2,"mallorca"
"Entire home/apt",10,2,4,8,159,2,60,7,91,9,10,10,9,10,9,"menorca"
"Private room",1,2,1,1,18,1,1125,336,86,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,2,3,4,103,7,1125,1,100,10,6,10,10,8,8,"girona"
"Entire home/apt",4,2,2,4,110,5,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",8,2,3,8,339,3,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",2,1,1,1,200,1,28,6,93,9,10,9,9,9,10,"madrid"
"Private room",2,1,1,2,50,10,17,0,92,9,9,10,10,10,9,"madrid"
"Private room",2,1,1,1,26,6,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",5,2,3,4,170,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Private room",2,1,1,2,18,2,1125,1,80,8,10,10,10,8,8,"barcelona"
"Entire home/apt",2,1,1,1,150,2,1125,18,99,10,10,10,10,10,10,"madrid"
"Entire home/apt",5,2,2,3,90,2,15,146,97,10,9,10,10,10,10,"madrid"
"Entire home/apt",6,3,3,3,202,3,1125,30,97,10,9,10,10,10,9,"sevilla"
"Entire home/apt",8,2,4,4,320,14,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,2,40,1,31,99,96,10,10,10,10,10,9,"sevilla"
"Entire home/apt",4,1,1,2,110,3,90,68,85,9,9,9,9,10,9,"barcelona"
"Private room",1,1,1,1,20,1,4,7,97,10,10,10,10,10,10,"barcelona"
"Private room",2,1,2,2,85,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",6,1,2,3,48,1,1125,49,95,10,10,10,10,10,9,"sevilla"
"Entire home/apt",5,1,2,2,85,1,30,87,96,10,10,10,10,10,9,"madrid"
"Private room",3,2,1,1,20,1,1125,9,73,7,8,10,10,8,8,"barcelona"
"Entire home/apt",4,1,1,1,80,2,1125,37,95,10,9,10,10,10,9,"madrid"
"Entire home/apt",6,3,3,3,174,5,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",14,5,6,9,412,7,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",2,1,1,1,180,1,35,1,100,10,10,10,10,10,10,"menorca"
"Entire home/apt",5,1,2,4,135,3,1125,43,98,10,10,10,10,10,10,"barcelona"
"Entire home/apt",8,2,3,8,90,2,1125,14,82,9,9,9,8,8,8,"girona"
"Entire home/apt",4,1,3,4,55,1,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,2,3,5,147,7,1125,1,100,10,10,10,10,10,8,"girona"
"Entire home/apt",6,2,4,6,138,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,1,2,4,125,3,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",4,2,2,3,185,2,90,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,1,2,4,95,1,30,1,100,10,10,10,10,10,10,"girona"
"Entire home/apt",5,1,2,3,170,3,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",2,1,1,1,88,3,1125,1,80,10,8,10,10,10,10,"girona"
"Entire home/apt",7,2,4,6,125,3,1125,8,98,10,10,10,9,10,10,"barcelona"
"Entire home/apt",6,1,2,5,65,2,1125,62,97,10,10,10,10,10,9,"girona"
"Entire home/apt",5,1,2,3,46,7,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,2,3,3,150,5,90,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,25,3,15,5,88,10,9,10,10,9,9,"malaga"
"Entire home/apt",6,2,3,3,130,6,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,50,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,3,5,60,2,9,52,89,9,9,10,10,10,9,"valencia"
"Entire home/apt",2,1,0,1,62,45,1125,6,84,9,6,10,10,9,8,"madrid"
"Entire home/apt",3,1,0,2,40,2,1125,1,100,10,10,10,10,10,10,"girona"
"Private room",2,3,1,1,40,2,1125,3,93,9,9,9,8,10,9,"madrid"
"Entire home/apt",2,1,1,1,84,31,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,2,3,5,99,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,3,5,101,1,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,2,1,2,105,3,30,23,100,10,10,10,10,10,10,"madrid"
"Private room",1,1,1,1,27,3,20,0,92,9,9,10,10,10,9,"madrid"
"Private room",1,1,1,1,25,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,2,3,141,3,31,49,94,10,9,9,10,10,9,"barcelona"
"Entire home/apt",8,3,4,8,236,3,30,139,88,9,9,9,9,9,9,"barcelona"
"Entire home/apt",5,1,3,4,120,4,1125,5,76,9,8,10,10,10,8,"mallorca"
"Private room",1,1,1,1,35,30,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",4,1,1,3,200,1,1125,2,80,9,9,8,7,10,8,"madrid"
"Entire home/apt",5,2,2,5,46,3,30,2,70,7,7,10,10,10,10,"menorca"
"Entire home/apt",4,1,1,1,80,7,1125,2,80,8,10,10,10,8,8,"girona"
"Entire home/apt",4,1,1,2,75,2,1125,9,100,10,10,10,10,10,10,"malaga"
"Entire home/apt",4,2,3,3,120,3,1125,0,92,9,9,10,10,10,9,"valencia"
"Private room",2,1,1,1,35,2,1125,14,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",4,1,1,2,247,1,1125,20,87,9,9,9,9,10,9,"sevilla"
"Private room",2,1,1,1,65,4,1125,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",4,1,1,2,52,6,1125,24,97,10,10,10,10,10,9,"madrid"
"Entire home/apt",13,5,6,10,500,4,1125,1,100,10,10,10,10,10,8,"girona"
"Entire home/apt",4,1,2,3,70,2,20,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",7,2,4,7,78,2,1125,18,86,9,9,10,10,9,9,"barcelona"
"Entire home/apt",6,2,3,5,58,1,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,2,2,3,86,2,1125,3,53,5,7,7,7,7,4,"madrid"
"Hotel room",3,1,1,0,1000,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,2,3,4,114,4,30,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,38,10,30,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,2,2,3,75,6,200,22,98,10,10,10,10,9,9,"mallorca"
"Entire home/apt",4,1,1,2,55,5,1125,1,92,9,9,10,10,10,9,"girona"
"Entire home/apt",5,2,2,4,182,3,1125,1,100,10,10,10,10,10,10,"mallorca"
"Private room",2,1,1,2,42,2,10,109,91,10,9,9,10,10,10,"barcelona"
"Entire home/apt",8,3,4,6,610,7,1125,1,100,10,10,10,10,10,8,"mallorca"
"Entire home/apt",8,4,4,5,605,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,3,5,84,2,1125,3,73,8,8,10,10,9,7,"valencia"
"Entire home/apt",4,1,1,1,83,1,27,7,86,9,9,9,9,10,8,"barcelona"
"Entire home/apt",5,1,3,3,75,2,1125,27,95,9,10,10,10,10,9,"valencia"
"Private room",2,2,1,1,55,4,31,24,91,9,9,10,10,10,9,"barcelona"
"Entire home/apt",5,1,2,4,82,2,1125,136,94,10,9,10,10,10,9,"madrid"
"Entire home/apt",8,2,3,7,85,5,28,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",2,2,1,2,55,3,120,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",7,1,2,3,102,2,1125,0,92,9,9,10,10,10,9,"valencia"
"Entire home/apt",3,1,2,2,27,32,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",3,1,2,2,120,2,1125,4,100,9,10,10,9,10,9,"barcelona"
"Entire home/apt",4,1,1,1,123,2,1125,72,98,10,10,10,10,10,10,"madrid"
"Private room",2,1,1,1,100,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",16,8,8,20,1050,5,28,1,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",4,1,1,2,95,2,10,1,100,10,6,10,10,10,10,"barcelona"
"Entire home/apt",4,1,1,2,50,2,1124,317,98,10,10,10,10,10,10,"valencia"
"Entire home/apt",6,2,3,4,295,5,1125,5,100,10,10,10,10,10,9,"mallorca"
"Entire home/apt",6,1,3,5,300,3,1125,5,76,7,7,9,8,8,7,"barcelona"
"Private room",2,1,1,2,22,1,1125,9,84,9,9,9,10,9,9,"barcelona"
"Private room",3,2,1,2,21,1,1125,103,86,9,9,9,9,8,9,"barcelona"
"Private room",3,1,1,1,75,2,365,70,96,10,9,10,10,10,9,"barcelona"
"Private room",1,1,1,1,25,2,5,42,95,10,10,10,9,10,10,"barcelona"
"Entire home/apt",4,2,2,3,115,1,1125,1,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,2,3,5,120,1,1125,67,99,10,10,10,10,10,10,"girona"
"Entire home/apt",4,1,1,2,70,1,1125,1,100,10,10,10,10,10,10,"valencia"
"Entire home/apt",6,2,4,4,60,3,1125,181,93,9,10,10,10,9,9,"barcelona"
"Entire home/apt",6,1,2,3,111,2,1125,2,50,6,9,7,6,5,6,"barcelona"
"Private room",2,1,1,1,600,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",2,1,1,1,50,2,1125,70,96,10,10,10,10,10,10,"sevilla"
"Entire home/apt",8,3,4,6,99,3,1125,1,100,10,10,10,10,10,10,"girona"
"Entire home/apt",4,1,1,4,50,1,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,2,2,3,200,1,1125,4,90,10,9,10,10,9,10,"barcelona"
"Private room",2,1,1,1,20,1,1125,33,86,9,9,9,9,9,9,"sevilla"
"Private room",3,2,1,2,50,2,1125,87,96,9,9,10,10,10,9,"barcelona"
"Entire home/apt",3,1,1,2,42,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,1,2,4,130,3,50,7,86,9,9,10,10,8,9,"girona"
"Entire home/apt",4,2,2,3,152,5,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",3,1,2,2,75,3,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",5,1,3,4,130,6,30,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",8,3,4,4,165,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,2,2,3,70,3,1125,87,98,10,10,10,10,10,10,"mallorca"
"Entire home/apt",2,1,0,1,50,2,1124,1,100,10,10,10,10,10,10,"malaga"
"Private room",2,2,1,1,55,4,60,3,100,10,10,10,10,10,10,"sevilla"
"Private room",1,1,1,1,20,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,1,1,1,49,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,1,1,1,65,1,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,1,1,2,115,2,1125,3,80,9,9,10,9,9,7,"girona"
"Entire home/apt",2,1,1,1,45,1,31,1,92,9,9,10,10,10,9,"madrid"
"Private room",2,2,1,1,30,4,1125,12,88,9,9,9,9,10,9,"barcelona"
"Private room",4,1,1,2,90,2,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",2,1,1,1,125,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,3,3,5,235,6,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,1,2,3,130,3,1125,4,65,5,9,8,8,10,7,"barcelona"
"Private room",2,1,1,1,40,2,1125,25,89,9,10,9,9,9,9,"barcelona"
"Shared room",1,2,1,4,35,1,11,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,1,2,3,100,2,1125,0,92,9,9,10,10,10,9,"valencia"
"Entire home/apt",10,1,4,5,225,1,1125,6,87,8,7,8,9,8,8,"malaga"
"Entire home/apt",6,1,2,4,78,3,1125,1,80,10,4,10,10,10,8,"girona"
"Private room",2,1,1,2,175,1,3,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",7,2,3,5,161,7,1125,1,100,6,10,10,10,8,10,"mallorca"
"Entire home/apt",4,1,1,2,90,3,1124,32,90,9,9,9,9,10,9,"madrid"
"Entire home/apt",6,2,2,3,90,2,1125,46,93,10,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,2,75,32,96,3,67,7,5,5,10,8,5,"barcelona"
"Entire home/apt",2,1,1,1,77,6,1125,54,89,9,9,9,9,10,9,"mallorca"
"Entire home/apt",4,2,1,1,60,2,1125,16,99,10,10,10,10,9,10,"sevilla"
"Entire home/apt",4,2,2,4,190,7,21,31,98,10,10,10,10,10,9,"mallorca"
"Entire home/apt",4,1,2,3,40,32,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",8,1,3,5,129,2,1125,3,93,10,10,10,10,10,9,"madrid"
"Entire home/apt",5,1,3,5,58,4,1125,90,97,10,10,10,10,10,9,"barcelona"
"Entire home/apt",14,4,7,10,314,2,700,11,93,8,9,8,9,9,9,"girona"
"Entire home/apt",6,2,3,5,150,5,1125,8,98,10,10,10,10,9,9,"mallorca"
"Entire home/apt",11,3,6,7,320,2,365,9,78,9,10,10,7,10,8,"valencia"
"Entire home/apt",2,1,1,1,19,30,1125,2,80,8,10,10,10,9,6,"barcelona"
"Entire home/apt",5,2,4,5,60,6,1125,16,85,9,9,10,10,9,9,"mallorca"
"Private room",2,1,1,1,33,5,30,15,86,9,7,10,10,10,9,"barcelona"
"Entire home/apt",5,2,2,2,85,2,1124,3,87,9,9,9,10,9,7,"girona"
"Entire home/apt",3,1,2,2,80,3,30,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,2,3,129,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,2,3,85,2,1125,4,85,9,8,10,10,10,9,"girona"
"Private room",3,1,1,2,55,1,1125,2,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",3,1,1,2,70,2,1125,17,72,7,6,9,9,8,6,"barcelona"
"Private room",2,1,1,1,29,1,1125,32,96,10,10,10,10,10,10,"madrid"
"Entire home/apt",6,2,3,6,145,2,1125,7,100,10,10,10,9,9,10,"girona"
"Entire home/apt",2,1,1,1,75,3,33,32,96,10,10,9,9,10,10,"sevilla"
"Entire home/apt",7,2,3,4,79,1,31,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",6,1,1,1,50,1,1125,6,43,5,5,6,7,6,4,"madrid"
"Private room",1,2,1,1,17,3,1125,80,93,9,9,10,10,9,10,"madrid"
"Entire home/apt",6,1,2,3,81,1,1125,40,87,9,9,10,10,9,9,"girona"
"Entire home/apt",4,1,2,3,55,3,1125,29,90,9,9,10,9,10,9,"valencia"
"Entire home/apt",6,1,2,4,69,7,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",4,2,2,3,250,2,1125,125,95,10,10,10,10,10,9,"barcelona"
"Entire home/apt",4,1,2,3,112,32,1125,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",6,2,3,5,114,1,1125,3,80,7,6,7,9,10,7,"girona"
"Entire home/apt",4,1,1,2,144,1,1125,15,79,9,8,10,10,10,7,"sevilla"
"Private room",1,1,1,1,12,5,30,1,92,9,9,10,10,10,9,"madrid"
"Private room",2,1,16,1,36,2,31,0,92,9,9,10,10,10,9,"mallorca"
"Private room",3,1,1,1,85,1,1125,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",6,1,3,4,135,4,1125,1,20,2,6,6,2,6,6,"madrid"
"Entire home/apt",4,1,1,2,59,3,20,34,88,9,10,9,9,10,8,"barcelona"
"Private room",3,1,1,1,30,2,1125,2,90,9,10,10,10,8,8,"mallorca"
"Entire home/apt",4,2,2,3,52,1,1125,1,80,10,10,8,10,10,10,"girona"
"Private room",4,2,1,1,39,1,1125,204,90,9,9,10,10,10,9,"madrid"
"Entire home/apt",8,3,4,7,212,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",2,1,0,1,55,2,15,15,97,10,10,10,10,10,9,"madrid"
"Entire home/apt",6,2,3,6,200,6,1125,6,83,9,8,8,9,9,9,"girona"
"Private room",2,1,1,1,39,1,7,3,100,9,10,10,10,10,10,"barcelona"
"Private room",1,1,1,1,21,5,1124,26,92,9,9,9,9,9,9,"barcelona"
"Entire home/apt",5,2,3,4,53,10,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",1,1,1,1,33,3,1125,7,97,9,10,10,10,10,9,"barcelona"
"Entire home/apt",4,2,2,3,170,3,1125,3,100,10,10,10,10,10,9,"madrid"
"Private room",1,1,1,1,25,1,13,33,95,10,9,10,10,10,10,"madrid"
"Shared room",1,2,1,1,25,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",8,2,3,5,99,1,90,63,90,9,9,9,9,10,9,"madrid"
"Entire home/apt",8,2,4,8,87,1,27,3,100,10,9,10,10,10,10,"barcelona"
"Entire home/apt",6,4,4,4,95,2,1125,21,99,10,10,10,10,10,10,"girona"
"Entire home/apt",6,3,3,5,150,5,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",3,1,1,2,40,3,1125,131,86,9,9,9,10,9,9,"barcelona"
"Entire home/apt",5,1,3,4,90,7,1000,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",10,4,5,7,328,7,1125,2,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",8,1,3,5,999,3,1124,1,80,6,8,10,6,10,10,"madrid"
"Entire home/apt",4,1,1,2,60,1,1125,38,87,9,9,10,10,10,9,"sevilla"
"Entire home/apt",8,2,3,5,94,2,90,41,92,10,10,10,10,9,9,"malaga"
"Entire home/apt",6,2,2,2,100,3,1125,160,94,10,9,9,10,10,9,"barcelona"
"Private room",1,0,1,1,40,2,6,74,93,9,10,9,9,10,9,"barcelona"
"Entire home/apt",4,1,3,3,66,32,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",3,1,1,2,40,5,90,1,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",2,1,1,1,1136,1,60,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,2,56,3,31,2,80,10,8,8,7,10,9,"girona"
"Entire home/apt",4,1,1,1,80,2,62,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,1,2,3,80,2,30,5,96,10,9,10,10,9,9,"malaga"
"Entire home/apt",12,6,6,7,272,1,1125,4,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",7,2,4,4,250,4,1125,72,95,10,10,10,10,9,10,"barcelona"
"Entire home/apt",6,2,3,4,100,1,1125,1,100,10,10,10,8,8,10,"mallorca"
"Private room",2,2,1,1,20,2,1125,10,96,9,9,10,10,10,10,"valencia"
"Entire home/apt",7,3,4,6,153,5,27,1,60,8,10,10,10,10,6,"girona"
"Entire home/apt",5,1,2,4,28,2,28,31,89,10,9,10,10,9,9,"girona"
"Entire home/apt",6,2,3,5,85,2,1124,6,88,10,10,10,10,10,10,"valencia"
"Entire home/apt",8,2,4,4,1100,1,1124,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,2,1,1,34,3,1125,32,94,9,9,10,10,9,9,"barcelona"
"Entire home/apt",4,1,1,2,89,1,90,88,97,10,10,10,10,10,9,"madrid"
"Entire home/apt",5,2,2,2,70,2,1125,32,89,9,10,9,9,9,9,"barcelona"
"Entire home/apt",14,7,7,12,1800,1,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",1,1,1,1,18,1,30,122,88,9,9,9,9,9,9,"madrid"
"Private room",1,1,1,1,100,1,1,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",14,4,6,11,400,3,1124,43,93,9,9,10,10,9,9,"barcelona"
"Entire home/apt",6,1,2,2,90,2,21,34,92,9,9,10,10,9,9,"girona"
"Entire home/apt",6,2,2,4,125,2,1125,14,90,9,10,9,9,10,9,"barcelona"
"Private room",2,1,1,1,50,1,1125,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,2,3,3,167,1,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,2,1000,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Private room",2,1,1,1,40,1,1125,2,80,9,8,8,9,9,9,"barcelona"
"Private room",1,1,1,1,45,31,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,45,3,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,2,2,2,123,1,1125,10,92,10,9,10,10,10,9,"mallorca"
"Entire home/apt",6,1,2,2,100,2,31,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,26,1,33,52,95,10,10,10,10,10,9,"barcelona"
"Entire home/apt",8,3,4,8,203,1,360,2,100,10,10,10,10,10,9,"mallorca"
"Entire home/apt",5,1,1,3,70,7,10,15,99,10,9,10,10,10,10,"malaga"
"Entire home/apt",6,2,3,4,184,2,28,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,2,3,6,130,4,1125,44,87,9,9,10,9,9,9,"mallorca"
"Private room",2,1,1,1,50,2,1125,0,92,9,9,10,10,10,9,"barcelona"
"Private room",2,2,1,1,49,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",8,3,4,6,100,3,1125,11,100,9,9,10,10,9,9,"mallorca"
